         Deformación;     Fuerza estándar
  0,000000000000e+00;  9,476210594177e+00
  0,000000000000e+00;  9,346327781677e+00
  2,089790723403e-05;  9,302141189575e+00
  1,393193815602e-05;  9,269618034363e+00
 -6,965969078010e-06;  9,259194374084e+00
 -1,393193815602e-05;  9,170051574707e+00
 -1,393193815602e-05;  9,084129333496e+00
  1,637002686039e-03;  9,403001785278e+00
  5,858379881829e-03;  9,568482398987e+00
  9,278670884669e-03;  9,801173210144e+00
  1,175158936530e-02;  9,849713325500e+00
  1,439865771681e-02;  9,876694679260e+00
  1,657900586724e-02;  9,898369789124e+00
  1,847374998033e-02;  9,894783020020e+00
  2,036849223077e-02;  9,915206909180e+00
  2,190797217190e-02;  9,920860290527e+00
  2,326633594930e-02;  9,652049064636e+00
  9,731458500028e-03;  7,896537780762e+00
 -6,018597166985e-03;  7,024417400360e+00
 -1,603566110134e-02;  6,228594779968e+00
 -2,078645117581e-02;  5,712558746338e+00
 -2,371215820313e-02;  5,421148777008e+00
 -2,897843159735e-02;  5,201828002930e+00
 -3,163943067193e-02;  5,279659748077e+00
 -2,156664058566e-02;  6,672026634216e+00
 -7,892442867160e-03;  7,453106880188e+00
  2,131586428732e-03;  8,225039482117e+00
  5,712094716728e-03;  8,551335334778e+00
  1,021211035550e-02;  9,025029182434e+00
  1,412001904100e-02;  9,368579864502e+00
  2,054960839450e-02;  9,694026947021e+00
  2,397686429322e-02;  9,771709442139e+00
  2,681897953153e-02;  9,840069770813e+00
  2,885304391384e-02;  9,847020149231e+00
  3,040645457804e-02;  9,336908340454e+00
  1,757513917983e-02;  8,017373085022e+00
  7,077424321324e-03;  7,253146648407e+00
 -2,089790650643e-04;  6,574492454529e+00
 -4,346764646471e-03;  6,129008293152e+00
 -8,387026377022e-03;  5,789232730865e+00
 -1,588240824640e-02;  5,346962928772e+00
 -1,946988329291e-02;  5,187208175659e+00
 -2,135069482028e-02;  5,099318981171e+00
 -2,243041992188e-02;  5,065541267395e+00
 -2,085611037910e-02;  5,636757373810e+00
 -8,589039556682e-03;  6,634679317474e+00
  2,396293217316e-03;  7,643157005310e+00
  6,276337895542e-03;  8,000134468079e+00
  9,585172869265e-03;  8,280041694641e+00
  1,369509473443e-02;  8,602010726929e+00
  2,250007912517e-02;  9,223347663879e+00
  2,748074755073e-02;  9,513082504272e+00
  3,097766451538e-02;  9,630392074585e+00
  3,362473100424e-02;  9,698662757874e+00
  3,441885113716e-02;  9,225575447083e+00
  2,178955078125e-02;  7,951678752899e+00
  1,155654247850e-02;  6,831198692322e+00
  8,644767105579e-03;  6,566507816315e+00
  5,057293456048e-03;  6,282772541046e+00
 -2,751557622105e-03;  5,719652652740e+00
 -7,328199222684e-03;  5,451621055603e+00
 -1,027480419725e-02;  5,269190311432e+00
 -1,201629638672e-02;  5,183876991272e+00
 -1,290097460151e-02;  5,382498264313e+00
 -9,264738764614e-04;  6,585589408875e+00
