         Deformación;     Fuerza estándar
  0,000000000000e+00;  6,375197172165e-01
  0,000000000000e+00;  6,298476457596e-01
  0,000000000000e+00;  6,339627504349e-01
  0,000000000000e+00;  6,294857859612e-01
  0,000000000000e+00;  6,308045387268e-01
  0,000000000000e+00;  6,087617278099e-01
  0,000000000000e+00;  5,908479094505e-01
  1,044895325322e-04;  7,052307128906e-01
  8,003897964954e-03;  1,567729592323e+00
  1,827870309353e-02;  2,404222488403e+00
  2,772455662489e-02;  3,044846534729e+00
  3,637629002333e-02;  3,621689081192e+00
  4,391346871853e-02;  4,095751762390e+00
  5,128346383572e-02;  4,527324199677e+00
  5,831909179688e-02;  4,907710552216e+00
  6,486710160971e-02;  5,284385681152e+00
  7,059312611818e-02;  5,582654476166e+00
  7,585940510035e-02;  5,878289222717e+00
  8,166901767254e-02;  6,200570106506e+00
  8,825185894966e-02;  6,571426391602e+00
  9,523873031139e-02;  6,966905117035e+00
  1,020444780588e-01;  7,316846847534e+00
  1,077078133821e-01;  7,656325817108e+00
  1,092054918408e-01;  7,746914863586e+00
  1,114694327116e-01;  7,872891902924e+00
  1,188881918788e-01;  8,299325942993e+00
  1,256451755762e-01;  8,672773361206e+00
  1,324718296528e-01;  9,058652877808e+00
  1,358363926411e-01;  8,989712715149e+00
  1,308487653732e-01;  7,980138778687e+00
  1,227612718940e-01;  6,936298370361e+00
  1,154469996691e-01;  6,149981021881e+00
  1,087945029140e-01;  5,569897651672e+00
  1,031868979335e-01;  5,142522811890e+00
  9,822712838650e-02;  4,801711082458e+00
  9,360869228840e-02;  4,469986438751e+00
  8,915047347546e-02;  4,183712482452e+00
  8,512414246798e-02;  3,929903030396e+00
  8,131375163794e-02;  3,689720392227e+00
  7,772628217936e-02;  3,481674194336e+00
  7,662566006184e-02;  3,408682107925e+00
  7,585940510035e-02;  3,357605934143e+00
  7,473091781139e-02;  3,285219192505e+00
  7,082997262478e-02;  3,055101871490e+00
  6,665039062500e-02;  2,843792438507e+00
  6,694296002388e-02;  3,089414596558e+00
  7,313571125269e-02;  3,915896415710e+00
  8,041514456272e-02;  4,685483932495e+00
  8,728358894587e-02;  5,258404254913e+00
  9,340667724609e-02;  5,761103630066e+00
  9,858239442110e-02;  6,169725418091e+00
  1,032704859972e-01;  6,498657703400e+00
  1,075336635113e-01;  6,805485725403e+00
  1,116923466325e-01;  7,103749275208e+00
  1,155096963048e-01;  7,355152606964e+00
  1,185050606728e-01;  7,565311908722e+00
  1,191319972277e-01;  7,608372211456e+00
  1,200166791677e-01;  7,670776844025e+00
  1,227403730154e-01;  7,837456703186e+00
  1,252829581499e-01;  8,004076004028e+00
  1,276862174273e-01;  8,143931388855e+00
  1,276513785124e-01;  7,895359516144e+00
  1,217581704259e-01;  6,933650493622e+00
  1,145414263010e-01;  6,064059257507e+00
  1,080143153667e-01;  5,435401439667e+00
  1,026644483209e-01;  4,986466407776e+00
  9,790669381618e-02;  4,640605926514e+00
  9,350419789553e-02;  4,321297168732e+00
  8,924102783203e-02;  4,014437675476e+00
  8,535401523113e-02;  3,765591144562e+00
  8,176654577255e-02;  3,522932529449e+00
  8,005987852812e-02;  3,431733846664e+00
  7,939811050892e-02;  3,401487588882e+00
  7,845770567656e-02;  3,348594665527e+00
  7,549717277288e-02;  3,158322095871e+00
  7,286403328180e-02;  3,013676643372e+00
  7,049560546875e-02;  2,866590976715e+00
  6,913723796606e-02;  2,842910051346e+00
  7,317053526640e-02;  3,488343000412e+00
  8,073557913303e-02;  4,351361274719e+00
  8,793839067221e-02;  5,008140087128e+00
  9,436798095703e-02;  5,561743736267e+00
  9,967605024576e-02;  5,999332427979e+00
  1,045591905713e-01;  6,385836124420e+00
  1,089965179563e-01;  6,692923069000e+00
  1,133990064263e-01;  7,009659290314e+00
  1,172372549772e-01;  7,290291309357e+00
  1,205669865012e-01;  7,556704998016e+00
  1,208734959364e-01;  7,581286907196e+00
  1,214656010270e-01;  7,621688842773e+00
  1,223015189171e-01;  7,674991607666e+00
  1,250043064356e-01;  7,862684726715e+00
  1,275120675564e-01;  8,036149024963e+00
  1,297899335623e-01;  8,211727142334e+00
  1,307860612869e-01;  8,148653984070e+00
  1,264044791460e-01;  7,306322574615e+00
  1,190693080425e-01;  6,344609737396e+00
  1,123471483588e-01;  5,689342975616e+00
  1,063564121723e-01;  5,160866737366e+00
  1,014454066753e-01;  4,788266181946e+00
  9,688269346952e-02;  4,435667991638e+00
  9,263345599174e-02;  4,145085334778e+00
  8,859319239855e-02;  3,857930421829e+00
  8,491516113281e-02;  3,622518301010e+00
  8,178047835827e-02;  3,424886465073e+00
  8,110477775335e-02;  3,375488519669e+00
  8,010864257813e-02;  3,318179368973e+00
  7,714810222387e-02;  3,139336824417e+00
  7,448710501194e-02;  2,967691183090e+00
  7,211867719889e-02;  2,820114850998e+00
  7,079514116049e-02;  2,827273368835e+00
  7,486326992512e-02;  3,452427387238e+00
  8,256066590548e-02;  4,324749469757e+00
  8,980526775122e-02;  5,016212463379e+00
  9,613037109375e-02;  5,547216892242e+00
  1,014732718468e-01;  5,971240520477e+00
  1,063146144152e-01;  6,339323997498e+00
  1,109957471490e-01;  6,709955692291e+00
  1,153216138482e-01;  7,053130149841e+00
  1,190135776997e-01;  7,315817356110e+00
  1,222457885742e-01;  7,564382553101e+00
  1,225453242660e-01;  7,586005687714e+00
  1,230886727571e-01;  7,631587982178e+00
  1,239803135395e-01;  7,693439483643e+00
