         Deformación;     Fuerza estándar
  0,000000000000e+00;  1,270545959473e+01
  6,965969078010e-05;  1,259486961365e+01
  6,965969078010e-05;  1,255861377716e+01
  6,965969078010e-05;  1,252725601196e+01
  8,359162893612e-05;  1,251807117462e+01
  6,965969078010e-05;  1,241677665710e+01
  6,965969078010e-05;  1,235306739807e+01
 -1,595206907950e-03;  1,180062866211e+01
 -4,068125970662e-03;  1,145962905884e+01
 -8,247707039118e-03;  1,091946125031e+01
 -1,276862062514e-02;  1,017000961304e+01
 -1,372295897454e-02;  1,008059215546e+01
 -1,421057619154e-02;  1,002064609528e+01
 -1,770052686334e-02;  9,333210945129e+00
 -2,889483980834e-02;  8,243077278137e+00
 -4,021453857422e-02;  7,133277893066e+00
 -4,262476414442e-02;  6,926809787750e+00
 -4,553654044867e-02;  6,668605327606e+00
 -5,311551317573e-02;  6,118842601776e+00
 -5,849324166775e-02;  5,734949588776e+00
 -6,204588338733e-02;  5,507670879364e+00
 -6,455363333225e-02;  5,386372089386e+00
 -5,720453709364e-02;  6,490156173706e+00
 -4,659536480904e-02;  7,767915248871e+00
 -4,419210553169e-02;  8,055441856384e+00
 -4,216501116753e-02;  8,288509368896e+00
 -3,951794281602e-02;  8,583019256592e+00
 -3,301869332790e-02;  9,235093116760e+00
 -2,957053855062e-02;  9,536482810974e+00
 -2,739018946886e-02;  9,705246925354e+00
 -2,820520848036e-02;  9,204128265381e+00
 -4,004038870335e-02;  7,786373615265e+00
 -4,573855176568e-02;  7,051605701447e+00
 -4,787013679743e-02;  6,800605297089e+00
 -5,069135501981e-02;  6,516912937164e+00
 -5,754587054253e-02;  5,843250751495e+00
 -6,150950491428e-02;  5,533934116364e+00
 -6,403815001249e-02;  5,367187023163e+00
 -6,476958096027e-02;  5,604374408722e+00
 -5,418827384710e-02;  6,807283401489e+00
 -4,491656646132e-02;  7,954580307007e+00
 -4,275711625814e-02;  8,210281372070e+00
 -3,997072950006e-02;  8,517751693726e+00
 -3,328340128064e-02;  9,212591171265e+00
 -2,974468655884e-02;  9,548974037170e+00
 -2,764096483588e-02;  9,719152450562e+00
 -2,693740092218e-02;  9,506608963013e+00
 -3,861236572266e-02;  8,009335517883e+00
 -4,610774666071e-02;  7,049067497253e+00
 -4,826719686389e-02;  6,798233032227e+00
 -5,112324655056e-02;  6,494885444641e+00
 -5,786630511284e-02;  5,855225086212e+00
 -6,180207803845e-02;  5,512195110321e+00
 -6,424016505480e-02;  5,320897102356e+00
 -6,582840532064e-02;  5,275162696838e+00
 -5,482217669487e-02;  6,740298271179e+00
 -4,532059282064e-02;  7,917532920837e+00
 -4,318204149604e-02;  8,179774284363e+00
 -4,037475585938e-02;  8,485364913940e+00
 -3,354113921523e-02;  9,208338737488e+00
 -2,992580272257e-02;  9,566533088684e+00
 -2,796836569905e-02;  9,745026588440e+00
 -2,707672119141e-02;  9,577310562134e+00
 -3,774162009358e-02;  8,155594825745e+00
 -4,681827872992e-02;  6,976153850555e+00
 -4,894986376166e-02;  6,735891819000e+00
 -5,163175985217e-02;  6,444954872131e+00
 -5,816584080458e-02;  5,795157909393e+00
 -6,187173724174e-02;  5,479988574982e+00
 -6,419140100479e-02;  5,305440425873e+00
 -6,520146876574e-02;  5,445145130157e+00
 -5,405591800809e-02;  6,787514686584e+00
 -4,474241659045e-02;  7,940921783447e+00
 -4,260386526585e-02;  8,196023941040e+00
 -3,984534367919e-02;  8,519031524658e+00
 -3,319284319878e-02;  9,247605323792e+00
 -2,976558543742e-02;  9,592350959778e+00
 -2,786387503147e-02;  9,728326797485e+00
 -2,676325291395e-02;  9,610492706299e+00
 -3,868202492595e-02;  7,991844177246e+00
 -4,610774666071e-02;  7,022838592529e+00
 -4,819753766060e-02;  6,769723892212e+00
 -5,100482329726e-02;  6,467673778534e+00
 -5,755283683538e-02;  5,805405139923e+00
 -6,131445989013e-02;  5,468791961670e+00
 -6,357839703560e-02;  5,327312469482e+00
 -6,342514604330e-02;  6,496840000153e+00
 -5,262789502740e-02;  8,017439842224e+00
 -3,092193603516e-02;  1,021595764160e+01
 -1,691337302327e-02;  1,154974555969e+01
 -1,421057619154e-03;  1,301495838165e+01
  1,544355321676e-02;  1,455539798737e+01
  3,301172703505e-02;  1,612477111816e+01
  5,122077092528e-02;  1,773134613037e+01
  7,007765024900e-02;  1,937247085571e+01
  8,933854848146e-02;  2,101798248291e+01
  1,092054918408e-01;  2,265209197998e+01
  1,299362182617e-01;  2,426710128784e+01
  1,518581211567e-01;  2,586907386780e+01
  1,738427132368e-01;  2,746261978149e+01
  1,947127580643e-01;  2,903890419006e+01
  2,149001359940e-01;  3,061185455322e+01
  2,343003600836e-01;  3,219079971313e+01
  2,531502842903e-01;  3,372579193115e+01
  2,711433768272e-01;  3,520038986206e+01
  2,884259521961e-01;  3,662351989746e+01
  3,051651716232e-01;  3,800336456299e+01
  3,213262259960e-01;  3,933982086182e+01
  3,371250331402e-01;  4,062730026245e+01
  3,521924316883e-01;  4,186643218994e+01
  3,667373657227e-01;  4,305068206787e+01
  3,804672956467e-01;  4,418173599243e+01
  3,939325213432e-01;  4,525165176392e+01
  4,067847132683e-01;  4,626713562012e+01
  4,192747175694e-01;  4,722213745117e+01
  4,314651489258e-01;  4,812405776978e+01
  4,431540369987e-01;  4,897820663452e+01
  4,543692469597e-01;  4,979171752930e+01
  4,652779698372e-01;  5,056080245972e+01
  4,755388200283e-01;  5,128127670288e+01
  4,857439696789e-01;  5,196606063843e+01
  5,051651000977e-01;  5,319000625610e+01
  5,240080356598e-01;  5,426942443848e+01
  5,413254499435e-01;  5,526071548462e+01
  5,578905344009e-01;  5,615330123901e+01
  5,737171769142e-01;  5,696852493286e+01
  5,890284180641e-01;  5,774119949341e+01
  6,036081910133e-01;  5,847473144531e+01
  6,176446080208e-01;  5,908989715576e+01
  6,308659911156e-01;  5,860392761230e+01
  6,436694860458e-01;  5,773809051514e+01
  6,559852957726e-01;  5,703768539429e+01
  6,688793301582e-01;  5,649983215332e+01
  6,849079728127e-01;  5,608726882935e+01
  7,016472220421e-01;  5,670147705078e+01
  7,175365686417e-01;  5,758185958862e+01
  7,319213151932e-01;  5,830978775024e+01
  7,457836270332e-01;  5,894966506958e+01
  7,589702010155e-01;  5,954638290405e+01
  7,723100185394e-01;  6,019202804565e+01
  7,848348021507e-01;  6,092316818237e+01
  7,968720197678e-01;  6,162060546875e+01
  8,082265257835e-01;  6,224050140381e+01
  8,189402222633e-01;  6,280248641968e+01
  8,292846679688e-01;  6,330740737915e+01
  8,438644409180e-01;  6,398023223877e+01
  8,572391271591e-01;  6,458226776123e+01
  8,703769445419e-01;  6,511399841309e+01
  8,824071288109e-01;  6,560642242432e+01
  8,943886160851e-01;  6,603406524658e+01
  9,056735038757e-01;  6,641487121582e+01
  9,160736799240e-01;  6,676053619385e+01
  9,266967773438e-01;  6,706526947021e+01
  9,393261075020e-01;  6,747190093994e+01
  9,518996477127e-01;  6,792018127441e+01
  9,648424386978e-01;  6,844570922852e+01
  9,774438738823e-01;  6,898784637451e+01
  9,905050396919e-01;  6,953131866455e+01
  1,003148317337e+00;  7,004223632813e+01
  1,015568614006e+00;  7,053751373291e+01
  1,027981996536e+00;  7,102527618408e+01
  1,039566397667e+00;  7,150263214111e+01
  1,051408529282e+00;  7,198385620117e+01
  1,063006877899e+00;  7,246780395508e+01
  1,073574185371e+00;  7,294231414795e+01
  1,079202771187e+00;  7,317763519287e+01
  1,087199687958e+00;  7,350998687744e+01
  1,099160194397e+00;  7,398818206787e+01
  1,110988497734e+00;  7,447171783447e+01
  1,121576666832e+00;  7,489859771729e+01
  1,132987022400e+00;  7,530792999268e+01
  1,144062876701e+00;  7,569010925293e+01
  1,155152678490e+00;  7,603385925293e+01
  1,144905805588e+00;  6,928735351563e+01
  1,126355409622e+00;  6,533332061768e+01
  1,116254687309e+00;  6,316490173340e+01
  1,096157908440e+00;  5,873597335815e+01
  1,076493024826e+00;  5,455721664429e+01
  1,066294789314e+00;  5,262496185303e+01
  1,056047797203e+00;  5,079466629028e+01
  1,045675516129e+00;  4,906257629395e+01
  1,035275340080e+00;  4,741519546509e+01
  1,016564726830e+00;  4,437319946289e+01
  9,991637468338e-01;  4,168249130249e+01
  9,831210970879e-01;  3,934396743774e+01
  9,680188894272e-01;  3,727705764771e+01
  9,544283151627e-01;  3,544508743286e+01
  9,413670897484e-01;  3,381700897217e+01
  9,294483065605e-01;  3,234919357300e+01
  9,183236956596e-01;  3,101323890686e+01
  9,074219465256e-01;  2,980525970459e+01
  8,927376866341e-01;  2,816985321045e+01
  8,787848353386e-01;  2,672314834595e+01
  8,661903738976e-01;  2,543994522095e+01
  8,544875383377e-01;  2,431127929688e+01
  8,438087105751e-01;  2,330514907837e+01
  8,307614326477e-01;  2,212954902649e+01
  8,188496232033e-01;  2,107838821411e+01
  8,075160384178e-01;  2,016194915771e+01
  7,974989414215e-01;  1,933328437805e+01
  7,856707572937e-01;  1,839297676086e+01
  7,749013304710e-01;  1,758769226074e+01
  7,636722326279e-01;  1,677621078491e+01
  7,532719969749e-01;  1,606688117981e+01
  7,429136037827e-01;  1,537716865540e+01
  7,323392629623e-01;  1,469513320923e+01
  7,215629220009e-01;  1,401424217224e+01
  7,114552855492e-01;  1,338878917694e+01
  7,006789445877e-01;  1,271858501434e+01
  6,931696534157e-01;  1,223683452606e+01
  6,910449862480e-01;  1,210077571869e+01
  6,879799962044e-01;  1,191494560242e+01
  6,783739328384e-01;  1,136915683746e+01
  6,690883040428e-01;  1,084145164490e+01
  6,608684659004e-01;  1,042315006256e+01
  6,578312516212e-01;  1,168634128571e+01
  6,723971366882e-01;  1,416568374634e+01
  6,885790824890e-01;  1,662105369568e+01
  7,087315917015e-01;  1,960891151428e+01
  7,202394008636e-01;  2,125624275208e+01
  7,323392629623e-01;  2,296594429016e+01
  7,454143762589e-01;  2,472357559204e+01
  7,589214444160e-01;  2,650616073608e+01
  7,732713222504e-01;  2,829418945313e+01
  7,871544957161e-01;  3,006956100464e+01
  8,004664778709e-01;  3,181328010559e+01
  8,133047223091e-01;  3,351196670532e+01
  8,254951834679e-01;  3,515835571289e+01
  8,372537493706e-01;  3,674017715454e+01
  8,484202027321e-01;  3,824007034302e+01
  8,590293526649e-01;  3,967629623413e+01
  8,694086670876e-01;  4,104011535645e+01
  8,888994455338e-01;  4,359492111206e+01
  9,073662161827e-01;  4,592255020142e+01
  9,240705966949e-01;  4,805632400513e+01
  9,396256208420e-01;  5,002163314819e+01
  9,538919329643e-01;  5,182138061523e+01
  9,674616456032e-01;  5,348023223877e+01
  9,797774553299e-01;  5,501662445068e+01
  9,915847778320e-01;  5,643695449829e+01
  1,002507448196e+00;  5,774045562744e+01
  1,017226457596e+00;  5,950270080566e+01
  1,030622124672e+00;  6,102226257324e+01
  1,042227387428e+00;  6,236531066895e+01
  1,053268432617e+00;  6,350774383545e+01
  1,063299417496e+00;  6,446311187744e+01
  1,074849009514e+00;  6,500162506104e+01
  1,086356759071e+00;  6,566171264648e+01
  1,097335100174e+00;  6,666466522217e+01
  1,109142422676e+00;  6,800106811523e+01
