         Deformación;     Fuerza estándar
  0,000000000000e+00;  1,119618320465e+01
  0,000000000000e+00;  1,110178470612e+01
  0,000000000000e+00;  1,107799625397e+01
  0,000000000000e+00;  1,105782794952e+01
  0,000000000000e+00;  1,104865837097e+01
 -2,089790723403e-05;  1,092538642883e+01
 -1,393193815602e-05;  1,086533927917e+01
 -1,184214706882e-04;  1,074610805511e+01
 -2,577408449724e-04;  1,072587299347e+01
 -5,572775262408e-04;  1,066692066193e+01
 -1,288704224862e-03;  1,054288578033e+01
 -4,144751466811e-03;  1,013662528992e+01
 -4,931905772537e-03;  1,000824832916e+01
 -5,050327628851e-03;  9,967008590698e+00
 -5,015497561544e-03;  9,925376892090e+00
 -4,931905772537e-03;  9,924105644226e+00
 -4,827416501939e-03;  9,902481079102e+00
 -4,597539547831e-03;  9,914167404175e+00
 -4,318900872022e-03;  9,887643814087e+00
 -1,657203957438e-02;  8,540568351746e+00
 -2,746681496501e-02;  7,528597831726e+00
 -3,323463723063e-02;  7,029040813446e+00
 -3,650864213705e-02;  6,777356147766e+00
 -4,072305560112e-02;  6,495310783386e+00
 -5,000869184732e-02;  5,933268070221e+00
 -5,579740926623e-02;  5,631893157959e+00
 -5,501025542617e-02;  6,144315719604e+00
 -4,416424408555e-02;  7,017642021179e+00
 -3,356900438666e-02;  8,001706123352e+00
 -3,029499948025e-02;  8,280226707458e+00
 -2,633832767606e-02;  8,611641883850e+00
 -1,823690719903e-02;  9,271885871887e+00
 -1,389710791409e-02;  9,610342025757e+00
 -1,147991698235e-02;  9,720541000366e+00
 -9,689662605524e-03;  9,823161125183e+00
 -8,484549820423e-03;  9,864235877991e+00
 -7,558076176792e-03;  9,906669616699e+00
 -1,818117871881e-02;  8,516546249390e+00
 -2,849777974188e-02;  7,503798484802e+00
 -3,414021432400e-02;  6,965243816376e+00
 -3,727490082383e-02;  6,701231479645e+00
 -4,121763631701e-02;  6,396433353424e+00
 -4,949320852757e-02;  5,825056076050e+00
 -5,440421774983e-02;  5,536057472229e+00
 -5,771305412054e-02;  5,357969760895e+00
 -5,997699126601e-02;  5,235330104828e+00
 -6,152343750000e-02;  5,188143730164e+00
 -6,269372254610e-02;  5,167380332947e+00
 -5,269755423069e-02;  6,268526077271e+00
 -4,134999215603e-02;  7,370335102081e+00
 -3,548464551568e-02;  7,872021198273e+00
 -3,288633748889e-02;  8,079122543335e+00
 -2,950784377754e-02;  8,349943161011e+00
 -2,171989157796e-02;  8,949759483337e+00
 -1,668349467218e-02;  9,298346519470e+00
 -1,332589890808e-02;  9,526642799377e+00
 -1,104106102139e-02;  9,676142692566e+00
 -9,438888169825e-03;  9,763520240784e+00
 -8,185013197362e-03;  9,780906677246e+00
 -1,825780421495e-02;  8,514666557312e+00
 -2,902022562921e-02;  7,384031772614e+00
 -3,186234086752e-02;  7,127201557159e+00
 -3,440492227674e-02;  6,903652191162e+00
 -3,781824558973e-02;  6,631469726563e+00
 -4,575945064425e-02;  6,032607078552e+00
 -5,067742243409e-02;  5,695016860962e+00
 -5,398625880480e-02;  5,503476619720e+00
 -5,638951808214e-02;  5,339169979095e+00
 -5,809618160129e-02;  5,233632564545e+00
 -5,931522697210e-02;  5,246384620667e+00
 -4,957680031657e-02;  6,326066970825e+00
 -3,910695016384e-02;  7,352252483368e+00
 -3,308138623834e-02;  7,871352195740e+00
 -3,105429001153e-02;  8,048714637756e+00
 -2,832362987101e-02;  8,275111198425e+00
 -2,147608250380e-02;  8,801590919495e+00
 -1,682978123426e-02;  9,158667564392e+00
 -1,344432029873e-02;  9,410901069641e+00
 -1,109678857028e-02;  9,574732780457e+00
 -9,334398433566e-03;  9,678714752197e+00
 -8,568141609430e-03;  9,531123161316e+00
 -1,975548826158e-02;  8,261377334595e+00
 -3,020444139838e-02;  7,177369117737e+00
 -3,230119869113e-02;  6,988656044006e+00
 -3,510151803493e-02;  6,751856803894e+00
 -4,242274910212e-02;  6,195530891418e+00
 -4,729196429253e-02;  5,848192691803e+00
 -5,058686807752e-02;  5,624284267426e+00
 -5,308068171144e-02;  5,470473289490e+00
 -5,497542768717e-02;  5,388835430145e+00
 -5,619447305799e-02;  5,432531833649e+00
 -4,598932713270e-02;  6,467663764954e+00
 -3,576328605413e-02;  7,468980789185e+00
 -3,214098140597e-02;  7,798404693604e+00
 -2,999546192586e-02;  7,981148242950e+00
 -2,724390476942e-02;  8,216568946838e+00
 -2,024310640991e-02;  8,797758102417e+00
 -1,552017871290e-02;  9,170899391174e+00
 -1,222527585924e-02;  9,404215812683e+00
 -9,822016581893e-03;  9,572322845459e+00
 -8,031762205064e-03;  9,677661895752e+00
 -7,850646972656e-03;  9,425207138062e+00
 -1,867576315999e-02;  8,241455078125e+00
 -2,899236232042e-02;  7,194726943970e+00
 -3,104732371867e-02;  7,009241104126e+00
 -3,391730412841e-02;  6,775411605835e+00
 -4,126640036702e-02;  6,171569824219e+00
 -4,605898633599e-02;  5,831867694855e+00
 -4,940265044570e-02;  5,615491390228e+00
 -5,180590972304e-02;  5,447988033295e+00
 -5,356829985976e-02;  5,343990802765e+00
