         Deformación;     Fuerza estándar
  0,000000000000e+00;  2,401027679443e+01
  4,876178354607e-05;  2,377006721497e+01
  5,572775262408e-05;  2,368146324158e+01
  5,572775262408e-05;  2,361952781677e+01
  4,876178354607e-05;  2,358919715881e+01
  6,965969078010e-05;  2,334933853149e+01
  3,482984539005e-05;  2,318417930603e+01
 -9,835948236287e-03;  2,084421920776e+01
 -2,192190475762e-02;  1,947118186951e+01
 -3,461389988661e-02;  1,791539573669e+01
 -4,651177302003e-02;  1,640155410767e+01
 -5,776878073812e-02;  1,510529136658e+01
 -6,821773201227e-02;  1,403903293610e+01
 -7,982303947210e-02;  1,283471870422e+01
 -8,977741003036e-02;  1,184854888916e+01
 -9,314893931150e-02;  1,153690910339e+01
 -9,725189208984e-02;  1,119108772278e+01
 -1,057225093246e-01;  1,058512306213e+01
 -1,101807281375e-01;  1,027436828613e+01
 -1,230468750000e-01;  9,088157653809e+00
 -1,340809762478e-01;  8,215687751770e+00
 -1,445159912109e-01;  7,462551593781e+00
 -1,491483598948e-01;  7,141043663025e+00
 -1,519486755133e-01;  6,958426952362e+00
 -1,558008641005e-01;  6,728269577026e+00
 -1,660269051790e-01;  6,153906822205e+00
 -1,729301810265e-01;  5,826145648956e+00
 -1,777297258377e-01;  5,624943256378e+00
 -1,813590079546e-01;  5,515153884888e+00
 -1,843822300434e-01;  5,388421535492e+00
 -1,866670697927e-01;  5,290582180023e+00
 -1,884294599295e-01;  5,223260402679e+00
 -1,898574829102e-01;  5,183788776398e+00
 -1,813938319683e-01;  6,309051513672e+00
 -1,699069440365e-01;  7,576276779175e+00
 -1,647521257401e-01;  8,142705917358e+00
 -1,620354056358e-01;  8,438606262207e+00
 -1,587265729904e-01;  8,792962074280e+00
 -1,524502336979e-01;  9,394450187683e+00
 -1,493016183376e-01;  9,669929504395e+00
 -1,475392282009e-01;  9,785821914673e+00
 -1,463689357042e-01;  9,840925216675e+00
 -1,455190926790e-01;  9,868808746338e+00
 -1,448224931955e-01;  9,922358512878e+00
 -1,444045305252e-01;  9,914195060730e+00
 -1,439169198275e-01;  9,935850143433e+00
 -1,435546875000e-01;  9,885697364807e+00
 -1,542892456055e-01;  8,436467170715e+00
 -1,643550693989e-01;  7,198699474335e+00
 -1,654556989670e-01;  7,072329044342e+00
 -1,674897521734e-01;  6,854507446289e+00
 -1,701228916645e-01;  6,588670253754e+00
 -1,763713657856e-01;  6,013578414917e+00
 -1,802583783865e-01;  5,659584999084e+00
 -1,828566789627e-01;  5,460707187653e+00
 -1,847723275423e-01;  5,339794158936e+00
 -1,861306875944e-01;  5,261912822723e+00
 -1,872452497482e-01;  5,191300868988e+00
 -1,880811601877e-01;  5,160539150238e+00
 -1,887777596712e-01;  5,149537086487e+00
 -1,894046962261e-01;  5,180524349213e+00
 -1,793667376041e-01;  6,378800868988e+00
 -1,689317077398e-01;  7,623151779175e+00
 -1,665493547916e-01;  7,888044834137e+00
 -1,644038259983e-01;  8,126081466675e+00
 -1,617079973221e-01;  8,427323341370e+00
 -1,554664969444e-01;  9,093972206116e+00
 -1,519974470139e-01;  9,407342910767e+00
 -1,496986746788e-01;  9,604344367981e+00
 -1,482009887695e-01;  9,723417282104e+00
 -1,471212655306e-01;  9,778424263000e+00
 -1,462505161762e-01;  9,839126586914e+00
 -1,456444710493e-01;  9,872302055359e+00
 -1,451359689236e-01;  9,901833534241e+00
 -1,467102766037e-01;  9,456634521484e+00
 -1,580299735069e-01;  8,090574264526e+00
 -1,670230329037e-01;  7,007221698761e+00
 -1,689177751541e-01;  6,793206691742e+00
 -1,713906973600e-01;  6,544539451599e+00
 -1,773187369108e-01;  5,986766338348e+00
 -1,810107082129e-01;  5,641695499420e+00
 -1,834836155176e-01;  5,446972846985e+00
 -1,852599382401e-01;  5,305673599243e+00
 -1,865138113499e-01;  5,228742599487e+00
 -1,874542236328e-01;  5,186071872711e+00
 -1,882344186306e-01;  5,143948554993e+00
 -1,888474225998e-01;  5,110137462616e+00
 -1,859983354807e-01;  5,625206947327e+00
 -1,758489161730e-01;  6,814623832703e+00
 -1,667374372482e-01;  7,882020950317e+00
 -1,649402081966e-01;  8,080652236938e+00
 -1,626066118479e-01;  8,341256141663e+00
 -1,567551940680e-01;  8,949720382690e+00
 -1,532164812088e-01;  9,295283317566e+00
 -1,509037911892e-01;  9,538320541382e+00
 -1,493155509233e-01;  9,644974708557e+00
 -1,481104344130e-01;  9,742290496826e+00
 -1,472257524729e-01;  9,816966056824e+00
 -1,466336399317e-01;  9,849323272705e+00
 -1,461320966482e-01;  9,849402427673e+00
 -1,549788713455e-01;  8,596236228943e+00
 -1,652049124241e-01;  7,321047306061e+00
 -1,671414524317e-01;  7,100041866302e+00
 -1,689177751541e-01;  6,900962352753e+00
 -1,712026149035e-01;  6,646883010864e+00
 -1,767962872982e-01;  6,099032878876e+00
 -1,805021911860e-01;  5,763773918152e+00
 -1,831004917622e-01;  5,537750720978e+00
 -1,850509643555e-01;  5,397829532623e+00
 -1,864789873362e-01;  5,301012992859e+00
 -1,875238865614e-01;  5,226877212524e+00
 -1,884294599295e-01;  5,188096046448e+00
 -1,891051530838e-01;  5,150867938995e+00
 -1,858450919390e-01;  5,729252338409e+00
 -1,758071184158e-01;  6,900086879730e+00
