         Deformación;     Fuerza estándar
  0,000000000000e+00;  1,551220226288e+01
  0,000000000000e+00;  1,538397121429e+01
  0,000000000000e+00;  1,536126708984e+01
  3,482984539005e-05;  1,536388683319e+01
  1,393193815602e-05;  1,536418628693e+01
  0,000000000000e+00;  1,533095455170e+01
  0,000000000000e+00;  1,525879001617e+01
 -1,411305274814e-02;  1,291583061218e+01
 -2,961930073798e-02;  1,188797664642e+01
 -3,946221247315e-02;  1,094750022888e+01
 -4,290340095758e-02;  1,032247352600e+01
 -4,346764460206e-02;  1,003007793427e+01
 -4,397616162896e-02;  1,010493469238e+01
 -4,527879878879e-02;  1,006227970123e+01
 -4,590573534369e-02;  1,001166820526e+01
 -5,678657814860e-02;  8,578936576843e+00
 -6,965968757868e-02;  7,837546825409e+00
 -8,003201335669e-02;  7,103032112122e+00
 -8,733931928873e-02;  6,529984951019e+00
 -9,170001745224e-02;  6,153477191925e+00
 -9,590049088001e-02;  5,830039024353e+00
 -1,040367484093e-01;  5,378879070282e+00
 -9,576117247343e-02;  6,739099979401e+00
 -8,545154333115e-02;  7,490447521210e+00
 -7,434082031250e-02;  8,543975830078e+00
 -7,039808481932e-02;  9,010300636292e+00
 -6,713800877333e-02;  9,393442153931e+00
 -6,234542280436e-02;  9,746428489685e+00
 -7,258539646864e-02;  8,190424919128e+00
 -8,600881695747e-02;  7,087769508362e+00
 -9,183236956596e-02;  6,475748538971e+00
 -9,512726962566e-02;  6,067772388458e+00
 -9,826892614365e-02;  5,748196601868e+00
 -1,045591905713e-01;  5,365263462067e+00
 -9,271007776260e-02;  6,871860504150e+00
 -8,125802874565e-02;  7,921461105347e+00
 -7,609624415636e-02;  8,495136260986e+00
 -7,275258004665e-02;  8,899153709412e+00
 -6,959699839354e-02;  9,255209922791e+00
 -6,433071941137e-02;  9,668488502502e+00
 -6,841974705458e-02;  8,637798309326e+00
 -8,059626072645e-02;  7,643520355225e+00
 -8,940821141005e-02;  6,712123394012e+00
 -9,293299168348e-02;  6,294824123383e+00
 -9,645777195692e-02;  5,922328472137e+00
 -1,029012948275e-01;  5,406952857971e+00
 -1,059872135520e-01;  5,236502647400e+00
 -1,079725176096e-01;  5,174367904663e+00
 -1,093796417117e-01;  5,128504276276e+00
