         Deformación;     Fuerza estándar
  0,000000000000e+00;  9,411923408508e+00
  1,393193815602e-05;  9,329906463623e+00
  0,000000000000e+00;  9,319979667664e+00
  3,482984539005e-05;  9,310052871704e+00
 -1,393193815602e-05;  9,300381660461e+00
 -2,089790723403e-05;  9,292522430420e+00
 -3,482984539005e-05;  9,316481590271e+00
  9,473717655055e-04;  9,597665786743e+00
  3,852180903777e-03;  9,777560234070e+00
  6,213644053787e-03;  1,002760124207e+01
  6,067358888686e-03;  1,006286144257e+01
 -8,456686511636e-03;  8,220671653748e+00
 -2,190797217190e-02;  7,456544876099e+00
 -3,482984378934e-02;  6,520567417145e+00
 -3,932986035943e-02;  6,162490844727e+00
 -4,434535652399e-02;  5,872648239136e+00
 -5,453656986356e-02;  5,410779476166e+00
 -3,852180764079e-02;  7,212174892426e+00
 -2,500782907009e-02;  8,287406921387e+00
 -2,213088236749e-02;  8,584703445435e+00
 -1,810455322266e-02;  9,004594802856e+00
 -1,439169142395e-02;  9,360587120056e+00
 -8,568141609430e-03;  9,780117034912e+00
 -2,114171534777e-02;  8,076385498047e+00
 -3,491343557835e-02;  6,990113258362e+00
 -4,045834764838e-02;  6,418694496155e+00
 -4,390650242567e-02;  6,059053421021e+00
 -4,748004302382e-02;  5,750027179718e+00
 -5,403501912951e-02;  5,316689491272e+00
 -3,944131731987e-02;  6,939429759979e+00
 -2,780814841390e-02;  7,909079074860e+00
 -2,291107177734e-02;  8,415371894836e+00
 -1,939325779676e-02;  8,767675399780e+00
 -1,543658692390e-02;  9,109402656555e+00
 -8,554209955037e-03;  9,722178459167e+00
 -6,645534187555e-03;  9,657278060913e+00
 -1,864093355834e-02;  8,341045379639e+00
 -3,046914748847e-02;  7,323816299438e+00
 -3,567272797227e-02;  6,769514560699e+00
 -3,922536969185e-02;  6,389495849609e+00
 -4,344674944878e-02;  6,030304908752e+00
 -5,133919045329e-02;  5,527620315552e+00
 -5,567202344537e-02;  5,348570346832e+00
 -5,900175496936e-02;  5,287329196930e+00
 -5,107448250055e-02;  6,437970161438e+00
 -3,937862068415e-02;  7,323535442352e+00
 -3,153494000435e-02;  8,069169998169e+00
 -2,790567092597e-02;  8,400486946106e+00
 -2,362160012126e-02;  8,749550819397e+00
 -1,454494334757e-02;  9,375305175781e+00
 -1,051861327142e-02;  9,150619506836e+00
 -2,254884131253e-02;  7,954229831696e+00
 -3,338788822293e-02;  6,917017936707e+00
 -3,515027835965e-02;  6,725445747375e+00
 -3,825013712049e-02;  6,431298732758e+00
 -4,210231453180e-02;  6,132120132446e+00
 -4,998082667589e-02;  5,534894466400e+00
 -5,367279052734e-02;  5,227351665497e+00
 -5,519833788276e-02;  5,039593696594e+00
 -5,569292232394e-02;  5,142627716064e+00
 -4,286160692573e-02;  6,560777187347e+00
 -3,083834424615e-02;  7,670660018921e+00
 -2,691650390625e-02;  8,081622123718e+00
 -2,367732860148e-02;  8,390114784241e+00
 -1,963010057807e-02;  8,750087738037e+00
 -1,156350877136e-02;  9,402149200439e+00
 -7,697395514697e-03;  9,696659088135e+00
 -5,489183589816e-03;  9,750339508057e+00
 -1,364633347839e-02;  8,394680023193e+00
 -2,495906688273e-02;  7,261510372162e+00
 -2,876248583198e-02;  6,839169025421e+00
 -3,170212358236e-02;  6,538471221924e+00
 -3,524083644152e-02;  6,230857372284e+00
 -4,309844970703e-02;  5,641312599182e+00
 -4,637942090631e-02;  6,307823657990e+00
 -2,899236232042e-02;  8,226255416870e+00
 -1,728256978095e-02;  9,121398925781e+00
 -3,761623287573e-03;  1,013216018677e+01
  1,096443552524e-02;  1,123484897614e+01
  2,637315914035e-02;  1,238789272308e+01
  4,197692871094e-02;  1,354344081879e+01
  5,759463086724e-02;  1,467210292816e+01
  7,325413078070e-02;  1,576218318939e+01
  8,885093033314e-02;  1,681346702576e+01
  1,045104339719e-01;  1,782927131653e+01
  1,207550689578e-01;  1,881570816040e+01
  1,374873220921e-01;  1,976436996460e+01
  1,550206691027e-01;  2,069503021240e+01
  1,734386980534e-01;  2,156636619568e+01
  1,928319483995e-01;  2,232803344727e+01
  2,133049368858e-01;  2,290355300903e+01
  2,351014465094e-01;  2,337833976746e+01
  2,574830949306e-01;  2,383180618286e+01
  2,790985107422e-01;  2,421939086914e+01
  3,001357316971e-01;  2,450248718262e+01
  3,211450874805e-01;  2,471203422546e+01
  3,420708775520e-01;  2,483037185669e+01
  3,631429374218e-01;  2,486717414856e+01
  3,842846453190e-01;  2,487919998169e+01
  4,052731096745e-01;  2,497936058044e+01
  4,263103306293e-01;  2,518427848816e+01
  4,474659860134e-01;  2,542404174805e+01
  4,684683680534e-01;  2,563000106812e+01
  4,893035888672e-01;  2,584564590454e+01
  5,101736187935e-01;  2,605459785461e+01
  5,311063528061e-01;  2,629818153381e+01
  5,520600080490e-01;  2,650222969055e+01
  5,726862549782e-01;  2,677300262451e+01
  5,930408239365e-01;  2,708502388000e+01
  6,133814454079e-01;  2,738068008423e+01
  6,337568759918e-01;  2,777540016174e+01
  6,539442539215e-01;  2,827118682861e+01
  6,741455793381e-01;  2,884336853027e+01
  6,944165229797e-01;  2,946692848206e+01
  7,144088745117e-01;  3,019630622864e+01
  7,344847917557e-01;  3,058459281921e+01
  7,542054653168e-01;  3,052525711060e+01
  7,732643485069e-01;  3,063661384583e+01
  7,919540405273e-01;  3,089454841614e+01
  8,101700544357e-01;  3,126936340332e+01
  8,282258510590e-01;  3,167998504639e+01
  8,458845615387e-01;  3,209849166870e+01
  8,641493320465e-01;  3,249604797363e+01
  8,832848668098e-01;  3,287719345093e+01
  9,028383493423e-01;  3,322893524170e+01
  9,225729107857e-01;  3,393408203125e+01
  9,413392543793e-01;  3,518268966675e+01
  9,590328335762e-01;  3,622980117798e+01
  9,760158658028e-01;  3,709381866455e+01
  9,927411079407e-01;  3,764192199707e+01
  1,009145975113e+00;  3,789648437500e+01
  1,025383710861e+00;  3,820512390137e+01
  1,041314840317e+00;  3,858030700684e+01
  1,056869864464e+00;  3,898251724243e+01
  1,072264671326e+00;  3,939444351196e+01
  1,087603688240e+00;  3,974976730347e+01
  1,103325843811e+00;  4,003326416016e+01
  1,119382500648e+00;  4,034238815308e+01
  1,135250926018e+00;  4,069315719604e+01
  1,150840759277e+00;  4,124686431885e+01
  1,165643453598e+00;  4,201182174683e+01
  1,180174469948e+00;  4,265000915527e+01
  1,194482564926e+00;  4,319428634644e+01
  1,208839416504e+00;  4,368364715576e+01
  1,222875833511e+00;  4,414035797119e+01
