         Deformación;     Fuerza estándar
  0,000000000000e+00;  1,384113216400e+01
  0,000000000000e+00;  1,372926521301e+01
 -1,393193815602e-05;  1,369018077850e+01
  0,000000000000e+00;  1,365595817566e+01
  0,000000000000e+00;  1,364337825775e+01
  0,000000000000e+00;  1,347781467438e+01
 -1,393193815602e-05;  1,332081699371e+01
 -3,482984539005e-05;  1,299109745026e+01
 -1,681584864855e-02;  1,129022216797e+01
 -2,881124801934e-02;  1,055330371857e+01
 -3,325553610921e-02;  9,939900398254e+00
 -3,260073438287e-02;  9,672830581665e+00
 -2,964019775391e-02;  9,994662284851e+00
 -2,960536815226e-02;  1,005593204498e+01
 -2,986310794950e-02;  9,808020591736e+00
 -4,641425237060e-02;  8,293085098267e+00
 -6,108457967639e-02;  7,501503467560e+00
 -7,127579301596e-02;  6,798242568970e+00
 -7,507224380970e-02;  6,527054309845e+00
 -8,010864257813e-02;  6,146983623505e+00
 -8,495695888996e-02;  5,832947731018e+00
 -9,462571889162e-02;  5,424750328064e+00
 -8,890666067600e-02;  6,692067146301e+00
 -7,711327821016e-02;  7,416100502014e+00
 -6,400332599878e-02;  8,475972175598e+00
 -5,937791988254e-02;  8,970141410828e+00
 -5,536552146077e-02;  9,373788833618e+00
 -4,972308501601e-02;  9,783542633057e+00
 -6,068751960993e-02;  8,228649139404e+00
 -7,140814512968e-02;  7,494812488556e+00
 -8,226809650660e-02;  6,543190002441e+00
 -8,581376820803e-02;  6,154914855957e+00
 -8,954056352377e-02;  5,831381320953e+00
 -9,704987704754e-02;  5,363677024841e+00
 -8,931765705347e-02;  6,578560352325e+00
 -7,590119540691e-02;  7,578289985657e+00
 -6,681757420301e-02;  8,438796997070e+00
 -6,317437440157e-02;  8,820222854614e+00
 -5,921770259738e-02;  9,192563056946e+00
 -5,292743071914e-02;  9,696306228638e+00
 -5,019677057862e-02;  9,816740036011e+00
 -4,848314449191e-02;  9,912906646729e+00
 -4,768205806613e-02;  9,900079727173e+00
 -5,709308013320e-02;  8,476539611816e+00
 -6,939498335123e-02;  7,468496322632e+00
 -7,744764536619e-02;  6,665310859680e+00
 -8,084703236818e-02;  6,333409786224e+00
 -8,452506363392e-02;  6,010839462280e+00
 -9,189505875111e-02;  5,487196445465e+00
 -9,581690281630e-02;  5,310012340546e+00
 -9,835948050022e-02;  5,159144401550e+00
 -9,961335361004e-02;  5,116791248322e+00
 -8,898328989744e-02;  6,345407009125e+00
 -7,780987024307e-02;  7,262854576111e+00
 -6,765349209309e-02;  8,227232933044e+00
 -6,426803022623e-02;  8,542100906372e+00
 -6,026259809732e-02;  8,880681037903e+00
 -5,238408595324e-02;  9,447109222412e+00
 -4,832989349961e-02;  9,703874588013e+00
 -4,601719230413e-02;  9,775250434875e+00
 -4,404582083225e-02;  9,717683792114e+00
 -5,434849113226e-02;  8,301659584045e+00
 -6,602345407009e-02;  7,236729621887e+00
 -6,991046667099e-02;  6,845593452454e+00
 -7,321929931641e-02;  6,555743217468e+00
 -7,741978019476e-02;  6,243264198303e+00
 -8,554209768772e-02;  5,633389472961e+00
 -8,963112533092e-02;  5,315317630768e+00
 -9,186023473740e-02;  5,208561897278e+00
 -8,846780657768e-02;  5,955790996552e+00
 -7,540661096573e-02;  6,994047641754e+00
 -6,362716108561e-02;  8,144042015076e+00
 -6,052730232477e-02;  8,442344665527e+00
 -5,669602006674e-02;  8,788272857666e+00
 -4,907524958253e-02;  9,416870117188e+00
 -4,519520699978e-02;  7,654493331909e+00
 -3,353417292237e-02;  5,713187217712e+00
 -2,171989157796e-02;  6,630300521851e+00
 -1,049771532416e-02;  8,001749038696e+00
 -4,653267096728e-03;  8,552915573120e+00
 -1,567343063653e-02;  7,629758358002e+00
 -2,194976806641e-02;  6,954175949097e+00
 -2,517501078546e-02;  6,625068187714e+00
 -2,909685298800e-02;  6,261572360992e+00
 -3,675941750407e-02;  5,626372814178e+00
 -2,044511958957e-02;  8,234874725342e+00
 -8,784086443484e-03;  9,090131759644e+00
  4,541811533272e-03;  1,003531932831e+01
  1,906585693359e-02;  1,105273056030e+01
  3,384764119983e-02;  1,210680198669e+01
  4,877571389079e-02;  1,315227985382e+01
  6,312561035156e-02;  1,416811847687e+01
  7,763572037220e-02;  1,513793849945e+01
  9,208314120770e-02;  1,605913734436e+01
  1,069206595421e-01;  1,694153976440e+01
  1,219253540039e-01;  1,779220390320e+01
  1,378774195910e-01;  1,863280677795e+01
  1,545400172472e-01;  1,948171043396e+01
  1,722614467144e-01;  2,032660293579e+01
  1,909929364920e-01;  2,118247795105e+01
  2,107484191656e-01;  2,204468917847e+01
  2,315697073936e-01;  2,292150878906e+01
  2,528019845486e-01;  2,380693054199e+01
  2,734769880772e-01;  2,469535064697e+01
  2,936295270920e-01;  2,552902221680e+01
  3,133989274502e-01;  2,545835685730e+01
  3,330290317535e-01;  2,542282867432e+01
  3,522690534592e-01;  2,550430488586e+01
  3,713558018208e-01;  2,565774345398e+01
  3,899618983269e-01;  2,579532623291e+01
  4,081639945507e-01;  2,598380279541e+01
  4,265820086002e-01;  2,618991851807e+01
  4,458359479904e-01;  2,639430046082e+01
  4,658631086349e-01;  2,659383773804e+01
  4,860644042492e-01;  2,682951354980e+01
  5,058477520943e-01;  2,795119285583e+01
  5,250668525696e-01;  2,901144599915e+01
  5,437704920769e-01;  2,991366195679e+01
  5,621815323830e-01;  3,071840667725e+01
  5,800562500954e-01;  3,150561141968e+01
  5,974850654602e-01;  3,222157669067e+01
  6,147955060005e-01;  3,289427185059e+01
  6,316740512848e-01;  3,354252243042e+01
  6,486013531685e-01;  3,417373657227e+01
  6,652012467384e-01;  3,479510116577e+01
  6,815921664238e-01;  3,541048049927e+01
  6,976069808006e-01;  3,600993728638e+01
  7,136008143425e-01;  3,660232162476e+01
  7,293787598610e-01;  3,719319152832e+01
  7,449476718903e-01;  3,778113555908e+01
  7,602937221527e-01;  3,835503768921e+01
  7,752705216408e-01;  3,892454910278e+01
  7,898712158203e-01;  3,947840499878e+01
  8,043255805969e-01;  4,001644515991e+01
  8,184177279472e-01;  4,054627990723e+01
  8,324680924416e-01;  4,106965255737e+01
  8,464209437370e-01;  4,159539031982e+01
  8,601787686348e-01;  4,211832046509e+01
  8,737136125565e-01;  4,263369369507e+01
  8,868932127953e-01;  4,314193725586e+01
  9,001007080078e-01;  4,364778518677e+01
  9,130365252495e-01;  4,413824844360e+01
  9,258747696877e-01;  4,463375854492e+01
  9,384971261024e-01;  4,512987899780e+01
  9,508478045464e-01;  4,562126159668e+01
  9,630033969879e-01;  4,610432052612e+01
  9,748316407204e-01;  4,657995223999e+01
  9,864787459373e-01;  4,704573440552e+01
  9,981676340103e-01;  4,750419616699e+01
  1,009438514709e+00;  4,794890594482e+01
  1,020876646042e+00;  4,838994216919e+01
  1,032077908516e+00;  4,882773590088e+01
  1,042909979820e+00;  4,925492477417e+01
  1,053763031960e+00;  4,967374420166e+01
  1,064198017120e+00;  5,008784103394e+01
  1,074472784996e+00;  5,050049591064e+01
  1,084817290306e+00;  5,090192413330e+01
  1,094848275185e+00;  5,130363464355e+01
  1,114701271057e+00;  5,209251022339e+01
  1,133969187737e+00;  5,286372756958e+01
  1,152512550354e+00;  5,362653350830e+01
  1,169983267784e+00;  5,435774993896e+01
  1,187363386154e+00;  5,507083511353e+01
  1,203893542290e+00;  5,576052856445e+01
  1,220228791237e+00;  5,643537902832e+01
  1,235818624496e+00;  5,708019256592e+01
  1,250920891762e+00;  5,770588302612e+01
  1,265410065651e+00;  5,830907821655e+01
  1,279641509056e+00;  5,889176940918e+01
  1,293322682381e+00;  5,944578170776e+01
  1,306774020195e+00;  5,998032379150e+01
  1,319681882858e+00;  6,049540710449e+01
  1,332060456276e+00;  6,097702407837e+01
  1,344083666801e+00;  6,145753860474e+01
  1,355298876762e+00;  6,192432785034e+01
  1,366514086723e+00;  6,237452316284e+01
  1,377346158028e+00;  6,282863998413e+01
  1,387593150139e+00;  6,326665496826e+01
  1,398021221161e+00;  6,367716979980e+01
  1,412405967712e+00;  6,431585693359e+01
  1,427124977112e+00;  6,493405914307e+01
  1,441628217697e+00;  6,558889770508e+01
  1,456270575523e+00;  6,623416900635e+01
