         Deformación;     Fuerza estándar
  0,000000000000e+00;  1,148445129395e+01
  3,482984539005e-05;  1,139823913574e+01
  0,000000000000e+00;  1,137432098389e+01
  0,000000000000e+00;  1,135860633850e+01
  0,000000000000e+00;  1,135260963440e+01
 -2,089790723403e-05;  1,130364990234e+01
  0,000000000000e+00;  1,121512699127e+01
 -4,667199100368e-04;  1,103180122375e+01
 -1,316568115726e-03;  1,089849472046e+01
 -3,531746333465e-03;  1,062880897522e+01
 -7,989966310561e-03;  1,005148792267e+01
 -8,428822271526e-03;  9,995074272156e+00
 -8,449720218778e-03;  9,979046821594e+00
 -8,428822271526e-03;  9,942991256714e+00
 -8,359163068235e-03;  9,948373794556e+00
 -1,842498779297e-02;  8,738142013550e+00
 -2,995366603136e-02;  7,757913589478e+00
 -3,808991983533e-02;  7,085788726807e+00
 -4,136392474174e-02;  6,848199844360e+00
 -4,541115090251e-02;  6,572869300842e+00
 -5,494059622288e-02;  6,006095409393e+00
 -6,139805167913e-02;  5,665060997009e+00
 -6,403815001249e-02;  5,831376075745e+00
 -5,280204489827e-02;  6,815514564514e+00
 -4,213714599609e-02;  7,879214763641e+00
 -4,046531394124e-02;  8,035435676575e+00
 -3,737938776612e-02;  8,306673049927e+00
 -3,352720662951e-02;  8,635954856873e+00
 -2,534219436347e-02;  9,275891304016e+00
 -2,114171534777e-02;  9,592099189758e+00
 -1,868969388306e-02;  9,729107856750e+00
 -1,759603805840e-02;  9,502656936646e+00
 -3,044128417969e-02;  8,194314956665e+00
 -4,176795110106e-02;  7,071446895599e+00
 -4,340495169163e-02;  6,918990135193e+00
 -4,615651071072e-02;  6,674351215363e+00
 -4,961163178086e-02;  6,407980442047e+00
 -5,785237252712e-02;  5,827168464661e+00
 -6,291662901640e-02;  5,519385814667e+00
 -6,598165631294e-02;  5,344706535339e+00
 -6,805751472712e-02;  5,256124019623e+00
 -6,959003210068e-02;  5,190698623657e+00
 -7,073941081762e-02;  5,223884582520e+00
 -5,978194624186e-02;  6,370737075806e+00
 -4,931209236383e-02;  7,323245525360e+00
 -4,231129586697e-02;  8,000454902649e+00
 -3,932986035943e-02;  8,247533798218e+00
 -3,544285148382e-02;  8,550228118896e+00
 -2,679111622274e-02;  9,213491439819e+00
 -2,328026853502e-02;  9,152465820313e+00
 -3,563093021512e-02;  7,912506103516e+00
 -4,545991495252e-02;  6,904828071594e+00
 -4,812787845731e-02;  6,642786979675e+00
 -5,131829157472e-02;  6,358052253723e+00
 -5,913411080837e-02;  5,801582813263e+00
 -6,390579789877e-02;  5,477632045746e+00
 -6,668522208929e-02;  5,327655792236e+00
 -6,805751472712e-02;  5,446854591370e+00
 -5,602728947997e-02;  6,578929424286e+00
 -4,499319195747e-02;  7,653239250183e+00
 -4,171918705106e-02;  7,956585884094e+00
 -3,877258300781e-02;  8,202267646790e+00
 -3,490646928549e-02;  8,521640777588e+00
 -2,633832767606e-02;  9,214230537415e+00
 -2,183831296861e-02;  9,535799026489e+00
 -1,919124461710e-02;  9,677437782288e+00
 -1,734526269138e-02;  9,780882835388e+00
 -1,609138771892e-02;  9,842905044556e+00
 -1,515098195523e-02;  9,852681159973e+00
 -2,628260105848e-02;  8,431567192078e+00
 -3,777644783258e-02;  7,271436691284e+00
 -4,108528420329e-02;  6,960561275482e+00
 -4,386470466852e-02;  6,722916603088e+00
 -4,727803170681e-02;  6,454771041870e+00
 -5,528889596462e-02;  5,847881793976e+00
 -5,370762199163e-02;  6,369045257568e+00
 -4,252027347684e-02;  7,425001144409e+00
 -3,569362312555e-02;  8,106380462646e+00
 -3,296992927790e-02;  8,361539840698e+00
 -2,959143556654e-02;  8,672030448914e+00
 -2,232593111694e-02;  9,303968429565e+00
 -1,855037547648e-02;  9,581241607666e+00
 -1,623070798814e-02;  9,728505134583e+00
 -1,476785447448e-02;  9,805467605591e+00
 -1,375778857619e-02;  9,850025177002e+00
 -1,288704294711e-02;  9,882351875305e+00
 -1,224617380649e-02;  9,882499694824e+00
 -2,486850880086e-02;  8,348232269287e+00
 -3,580508008599e-02;  7,208817005157e+00
 -3,903032466769e-02;  6,906828880310e+00
 -4,177491739392e-02;  6,669843673706e+00
 -4,515340924263e-02;  6,400298118591e+00
 -5,289956927299e-02;  5,855524539948e+00
 -5,785237252712e-02;  5,525620460510e+00
 -6,101492047310e-02;  5,334779739380e+00
