         Deformación;     Fuerza estándar
  0,000000000000e+00;  5,880306720734e+00
 -1,393193815602e-05;  5,965213298798e+00
  0,000000000000e+00;  5,999639034271e+00
  0,000000000000e+00;  6,018121719360e+00
  0,000000000000e+00;  6,025345325470e+00
  2,089790723403e-05;  6,101307392120e+00
  0,000000000000e+00;  6,182911396027e+00
  6,965969078010e-05;  6,368460655212e+00
  8,407924324274e-03;  8,119378089905e+00
  9,996165521443e-03;  8,458903312683e+00
  1,187001075596e-02;  8,838858604431e+00
  1,535996142775e-02;  9,506725311279e+00
  1,685764454305e-02;  9,768353462219e+00
  1,743582077324e-02;  9,699545860291e+00
  7,230675779283e-03;  7,517756462097e+00
  4,270139150321e-03;  6,934022426605e+00
  2,619204344228e-03;  6,645030498505e+00
  6,478350842372e-04;  6,300226211548e+00
 -3,343665041029e-03;  5,693959236145e+00
 -5,537945311517e-03;  5,453968524933e+00
 -7,049560546875e-03;  5,338212966919e+00
 -8,150183595717e-03;  5,257920265198e+00
 -9,055759757757e-03;  5,205729007721e+00
 -9,787186048925e-03;  5,203488826752e+00
 -1,048378366977e-02;  5,175325870514e+00
 -1,104106102139e-02;  5,156791687012e+00
 -1,161227002740e-02;  5,153975963593e+00
 -1,212078612298e-02;  5,220691204071e+00
 -3,141652094200e-03;  7,141231060028e+00
  2,068892819807e-03;  8,210078239441e+00
  3,671065671369e-03;  8,517825126648e+00
  5,586707033217e-03;  8,884270668030e+00
  9,041828103364e-03;  9,508617401123e+00
  1,060220506042e-02;  9,759665489197e+00
  1,138935890049e-02;  9,880413055420e+00
  1,187697704881e-02;  9,920013427734e+00
  1,215561572462e-02;  9,955440521240e+00
  1,232976466417e-02;  9,978219985962e+00
  1,241335645318e-02;  9,978067398071e+00
  1,251784618944e-02;  9,981180191040e+00
  1,257357373834e-02;  9,985754966736e+00
  1,265716552734e-02;  9,973797798157e+00
  7,578974124044e-03;  8,675747871399e+00
 -9,891676018015e-04;  6,977736473083e+00
 -2,417191164568e-03;  6,716248512268e+00
 -4,130819346756e-03;  6,416187286377e+00
 -8,010864257813e-03;  5,845969200134e+00
 -1,039322558790e-02;  5,545275211334e+00
 -1,198146678507e-02;  5,386071681976e+00
 -1,308905519545e-02;  5,278040409088e+00
 -1,396676804870e-02;  5,226001262665e+00
 -1,466336473823e-02;  5,204706668854e+00
 -1,529030222446e-02;  5,169789314270e+00
 -1,582668162882e-02;  5,179357051849e+00
 -1,637002639472e-02;  5,137086391449e+00
 -1,682281494141e-02;  5,136692047119e+00
 -1,418271288276e-02;  5,952105998993e+00
 -4,130819346756e-03;  7,865516662598e+00
 -3,350631101057e-03;  8,029096603394e+00
 -1,971369143575e-03;  8,307342529297e+00
 -2,089790650643e-04;  8,652771949768e+00
  3,622303949669e-03;  9,351980209351e+00
  5,572774913162e-03;  9,661485671997e+00
  6,548010744154e-03;  9,835508346558e+00
  7,070458494127e-03;  9,886314392090e+00
  7,439654786140e-03;  9,927240371704e+00
  7,676497567445e-03;  9,939238548279e+00
  7,857613265514e-03;  9,982187271118e+00
  7,976034656167e-03;  9,973700523376e+00
  8,059626445174e-03;  9,989680290222e+00
  8,136251941323e-03;  9,975678443909e+00
  5,231442861259e-03;  9,073711395264e+00
 -3,496916498989e-03;  7,299783706665e+00
 -4,702028818429e-03;  7,076285839081e+00
 -5,760856438428e-03;  6,870914459229e+00
 -7,209777832031e-03;  6,626711845398e+00
 -1,076242234558e-02;  6,071986198425e+00
 -1,316568162292e-02;  5,731384277344e+00
 -1,485144533217e-02;  5,551841259003e+00
 -1,616104878485e-02;  5,397905826569e+00
 -1,706662401557e-02;  5,306991100311e+00
 -1,781894825399e-02;  5,243530750275e+00
 -1,839015819132e-02;  5,204356670380e+00
 -1,889170706272e-02;  5,197931766510e+00
 -1,936539448798e-02;  5,157566070557e+00
 -1,959527097642e-02;  5,242022037506e+00
 -1,320747751743e-02;  6,678758144379e+00
 -7,195845711976e-03;  7,877523899078e+00
 -6,046460941434e-03;  8,105206489563e+00
 -4,513947758824e-03;  8,388642311096e+00
 -1,044895383529e-03;  9,046206474304e+00
  1,184214721434e-03;  9,431223869324e+00
  2,521680667996e-03;  9,672360420227e+00
  3,378494875506e-03;  9,790201187134e+00
  3,900942625478e-03;  9,869790077209e+00
  4,249241203070e-03;  9,927944183350e+00
  4,479118157178e-03;  9,940362930298e+00
  4,632369149476e-03;  9,966572761536e+00
  4,736858885735e-03;  9,958333969116e+00
  4,562709480524e-03;  9,722967147827e+00
 -3,671065671369e-03;  7,909973144531e+00
 -7,711327634752e-03;  7,108842372894e+00
 -8,825882337987e-03;  6,915636062622e+00
 -1,025390625000e-02;  6,660682678223e+00
 -1,389710791409e-02;  6,060344696045e+00
 -1,626553758979e-02;  5,721784114838e+00
 -1,791647262871e-02;  5,499536037445e+00
 -1,908675394952e-02;  5,372206211090e+00
 -1,992267183959e-02;  5,296383380890e+00
 -2,060533687472e-02;  5,249222278595e+00
 -2,119744382799e-02;  5,204399585724e+00
 -2,169899269938e-02;  5,180579662323e+00
 -2,215178124607e-02;  5,171672344208e+00
 -2,229109965265e-02;  5,310062408447e+00
 -1,529030222446e-02;  6,799693107605e+00
 -1,003796141595e-02;  7,873515129089e+00
 -8,902507834136e-03;  8,094151496887e+00
 -7,404825184494e-03;  8,379388809204e+00
 -3,782521234825e-03;  9,029954910278e+00
 -1,678798464127e-03;  9,399630546570e+00
 -3,134685975965e-04;  9,644366264343e+00
  5,712094716728e-04;  9,779393196106e+00
  1,135452883318e-03;  9,866324424744e+00
  1,476785400882e-03;  9,908066749573e+00
  1,762390136719e-03;  9,924165725708e+00
  1,929573365487e-03;  9,944676399231e+00
  2,089790767059e-03;  9,975301742554e+00
  2,089790767059e-03;  9,921034812927e+00
 -6,896309205331e-04;  9,104727745056e+00
 -5,503115244210e-03;  8,031984329224e+00
 -9,222942404449e-03;  7,325119972229e+00
 -9,508547373116e-03;  7,265715599060e+00
 -1,014941651374e-02;  7,160541057587e+00
 -1,100623048842e-02;  7,007941722870e+00
 -1,351397950202e-02;  6,567549705505e+00
 -1,553411036730e-02;  6,275245666504e+00
 -1,717111282051e-02;  6,039335250854e+00
 -1,849464699626e-02;  5,851312637329e+00
 -1,957437209785e-02;  5,720388412476e+00
 -2,051477879286e-02;  5,574558734894e+00
 -2,128103561699e-02;  5,510726928711e+00
 -2,190797217190e-02;  5,459625720978e+00
 -1,917034573853e-02;  6,810727596283e+00
 -9,027895517647e-03;  8,751831054688e+00
  6,074324715883e-03;  1,163449192047e+01
  1,866183057427e-02;  1,393602085114e+01
  3,255197405815e-02;  1,647118949890e+01
  4,759846627712e-02;  1,911839103699e+01
  6,327189505100e-02;  2,180752563477e+01
  7,781683653593e-02;  2,446260452271e+01
  9,208314120770e-02;  2,705201721191e+01
  1,050746738911e-01;  2,948976325989e+01
  1,181567683816e-01;  3,180632209778e+01
  1,299153268337e-01;  3,399745178223e+01
  1,414091736078e-01;  3,606161499023e+01
  1,520531624556e-01;  3,800647735596e+01
  1,622374206781e-01;  3,985512161255e+01
  1,769077479839e-01;  4,244635772705e+01
  1,901291608810e-01;  4,485685348511e+01
  2,025634050369e-01;  4,708053970337e+01
  2,142662405968e-01;  4,913550567627e+01
  2,248405814171e-01;  5,101548385620e+01
