         Deformación;     Fuerza estándar
  0,000000000000e+00;  1,334511375427e+01
  0,000000000000e+00;  1,322729587555e+01
  3,482984539005e-05;  1,318515968323e+01
  0,000000000000e+00;  1,315777969360e+01
  0,000000000000e+00;  1,314577198029e+01
  0,000000000000e+00;  1,301014328003e+01
  0,000000000000e+00;  1,286752986908e+01
 -1,046288572252e-02;  1,147874641418e+01
 -2,153180912137e-02;  1,086856365204e+01
 -2,729963138700e-02;  1,030783557892e+01
 -2,836542576551e-02;  9,908289909363e+00
 -2,796836569905e-02;  1,002015686035e+01
 -2,810768410563e-02;  1,003857803345e+01
 -2,823307178915e-02;  1,000765323639e+01
 -2,851867675781e-02;  9,505045890808e+00
 -4,020757228136e-02;  8,695116996765e+00
 -5,229352787137e-02;  8,034906387329e+00
 -6,242204830050e-02;  7,360910415649e+00
 -6,979900598526e-02;  6,831401824951e+00
 -7,533695548773e-02;  6,458942890167e+00
 -8,173868060112e-02;  6,099869728088e+00
 -9,245233982801e-02;  5,589958190918e+00
 -9,576117247343e-02;  6,101438999176e+00
 -8,139734715223e-02;  7,022298336029e+00
 -7,102502137423e-02;  7,715879917145e+00
 -6,355053186417e-02;  8,358279228210e+00
 -5,892512947321e-02;  8,818368911743e+00
 -5,448780953884e-02;  9,228611946106e+00
 -4,768902435899e-02;  9,707962989807e+00
 -5,821460112929e-02;  8,295815467834e+00
 -6,832919269800e-02;  7,622188568115e+00
 -7,885476946831e-02;  6,707194328308e+00
 -8,311793953180e-02;  6,302330970764e+00
 -8,776424080133e-02;  5,933109760284e+00
 -9,617913514376e-02;  5,437385082245e+00
 -9,321162849665e-02;  6,256940841675e+00
 -7,881297171116e-02;  7,169343471527e+00
 -6,802268326283e-02;  8,079211235046e+00
 -6,552886962891e-02;  8,319378852844e+00
 -6,157219782472e-02;  8,690237045288e+00
 -5,725329741836e-02;  9,055166244507e+00
 -4,975791648030e-02;  9,600237846375e+00
 -4,624010249972e-02;  9,790205955505e+00
 -4,423390328884e-02;  9,863982200623e+00
 -4,362089559436e-02;  9,475239753723e+00
 -5,545607954264e-02;  8,432425498962e+00
 -6,772314757109e-02;  7,491542816162e+00
 -7,576187700033e-02;  6,738986492157e+00
 -7,939811050892e-02;  6,415037631989e+00
 -8,389812707901e-02;  6,083886146545e+00
 -9,257075935602e-02;  5,532571792603e+00
 -7,870848476887e-02;  6,942268371582e+00
 -6,624636799097e-02;  8,040012359619e+00
 -6,403118371964e-02;  8,248962402344e+00
 -6,038798391819e-02;  8,583375930786e+00
 -5,625716596842e-02;  8,940580368042e+00
 -4,867818951607e-02;  9,547595977783e+00
 -4,513948038220e-02;  9,754194259644e+00
 -4,308451712132e-02;  9,844059944153e+00
 -4,176098480821e-02;  9,799751281738e+00
 -5,565112456679e-02;  8,360641479492e+00
 -6,595379114151e-02;  7,460895538330e+00
 -7,302425056696e-02;  6,790091037750e+00
 -7,638881355524e-02;  6,486978530884e+00
 -8,061019331217e-02;  6,162919044495e+00
 -8,933854848146e-02;  5,564893245697e+00
 -9,363655745983e-02;  5,320264339447e+00
 -9,616520255804e-02;  5,211096763611e+00
 -9,783703088760e-02;  5,169779777527e+00
 -8,591826260090e-02;  6,413849830627e+00
 -7,516280561686e-02;  7,266277790070e+00
 -6,543831527233e-02;  8,169276237488e+00
 -6,195532903075e-02;  8,473052978516e+00
 -5,785933881998e-02;  8,808884620667e+00
 -4,967432469130e-02;  9,416366577148e+00
 -4,543901607394e-02;  9,698642730713e+00
 -4,314024373889e-02;  9,802720069885e+00
 -4,162166267633e-02;  9,688645362854e+00
 -5,404895171523e-02;  8,412253379822e+00
 -6,610704213381e-02;  7,299253940582e+00
 -7,037718594074e-02;  6,887550354004e+00
 -7,372781634331e-02;  6,588881492615e+00
 -7,785166800022e-02;  6,267361640930e+00
 -8,690046519041e-02;  5,628800392151e+00
