         Deformacion;     Fuerza
  0,000000000000e+00;  8,156205177307e+00
  0,000000000000e+00;  8,104062080383e+00
  0,000000000000e+00;  8,077951431274e+00
  0,000000000000e+00;  8,067984580994e+00
  0,000000000000e+00;  8,065959930420e+00
 -1,393193815602e-05;  8,038297653198e+00
 -1,393193815602e-05;  8,001578330994e+00
 -4,876178354607e-05;  7,940954208374e+00
 -2,786387631204e-05;  7,938077449799e+00
  9,613037109375e-03;  8,898231506348e+00
  2,165719680488e-02;  9,732922554016e+00
  3,320677205920e-02;  1,002152919769e+01
  4,481904581189e-02;  9,265409469604e+00
  5,716273933649e-02;  9,126246452332e+00
  6,949947029352e-02;  1,010920047760e+01
  8,175957947969e-02;  1,084403800964e+01
  9,196472167969e-02;  1,117524528503e+01
  1,020305454731e-01;  1,148178577423e+01
  1,143185123801e-01;  1,202436828613e+01
  1,243564784527e-01;  1,253859996796e+01
  1,344014108181e-01;  1,298519706726e+01
  1,464873552322e-01;  1,324215507507e+01
  1,567482352257e-01;  1,350742244720e+01
  1,669324785471e-01;  1,398841381073e+01
  1,791229248047e-01;  1,460418987274e+01
  1,895370483398e-01;  1,505910396576e+01
  2,018737792969e-01;  1,491082859039e+01
  2,143359035254e-01;  1,426312446594e+01
  2,244226187468e-01;  1,443842315674e+01
  2,366478890181e-01;  1,552143192291e+01
  2,467973083258e-01;  1,610185050964e+01
  2,592872977257e-01;  1,671555137634e+01
  2,716658115387e-01;  1,732470703125e+01
  2,818500697613e-01;  1,780864334106e+01
  2,919716238976e-01;  1,803591537476e+01
  2,964019775391e-01;  1,777004814148e+01
  3,021280169487e-01;  1,758216667175e+01
  3,139631748199e-01;  1,768216896057e+01
  3,250321149826e-01;  1,852518844604e+01
  3,351675868034e-01;  1,901352691650e+01
  3,383092582226e-01;  1,851341438293e+01
  3,269268572330e-01;  1,675837516785e+01
  3,152936995029e-01;  1,520909023285e+01
  3,031728863716e-01;  1,378912353516e+01
  2,908082902431e-01;  1,255008888245e+01
  2,816271483898e-01;  1,175026702881e+01
  2,782974243164e-01;  1,142698287964e+01
  2,743825614452e-01;  1,106967163086e+01
  2,670473754406e-01;  1,049541473389e+01
  2,636828124523e-01;  1,029174423218e+01
  2,706766426563e-01;  1,140696430206e+01
  2,820799350739e-01;  1,280827903748e+01
  2,939220964909e-01;  1,421258831024e+01
  3,059035539627e-01;  1,555295944214e+01
  3,183029890060e-01;  1,681009864807e+01
  3,292952775955e-01;  1,779032325745e+01
  3,309531807899e-01;  1,794691658020e+01
  3,338092267513e-01;  1,820742225647e+01
  3,376056849957e-01;  1,849697113037e+01
  3,468843400478e-01;  1,788858795166e+01
  3,580856323242e-01;  1,797140121460e+01
  3,607257306576e-01;  1,805698013306e+01
  3,506111502647e-01;  1,653949737549e+01
  3,389431536198e-01;  1,493943309784e+01
  3,270661830902e-01;  1,357565689087e+01
  3,164221644402e-01;  1,254555988312e+01
  3,115599155426e-01;  1,205609989166e+01
  3,089476823807e-01;  1,179996776581e+01
  3,055343627930e-01;  1,147345447540e+01
  2,979205548763e-01;  1,081123542786e+01
  2,940683662891e-01;  1,056429481506e+01
  3,034166991711e-01;  1,198602771759e+01
  3,147503435612e-01;  1,343245506287e+01
  3,265994489193e-01;  1,482985115051e+01
  3,385042846203e-01;  1,616503143311e+01
  3,494966030121e-01;  1,729354095459e+01
  3,557311296463e-01;  1,793293952942e+01
  3,581692278385e-01;  1,816408157349e+01
  3,611158430576e-01;  1,841596984863e+01
  3,688689470291e-01;  1,895598030090e+01
  3,741073608398e-01;  1,913793373108e+01
  3,657760620117e-01;  1,756401824951e+01
  3,547349870205e-01;  1,593895816803e+01
  3,426142036915e-01;  1,440717411041e+01
  3,312596976757e-01;  1,316830825806e+01
  3,208594918251e-01;  1,205834770203e+01
  3,185607194901e-01;  1,183532333374e+01
  3,155514299870e-01;  1,154779052734e+01
  3,086481392384e-01;  1,091085147858e+01
  3,045034110546e-01;  1,062462997437e+01
  3,122425973415e-01;  1,186418151855e+01
  3,233045637608e-01;  1,325771427155e+01
  3,348192870617e-01;  1,468546772003e+01
  3,471769392490e-01;  1,605129241943e+01
  3,586568534374e-01;  1,732153701782e+01
  3,637628853321e-01;  1,787927818298e+01
  3,659920096397e-01;  1,810005950928e+01
  3,690082728863e-01;  1,840025711060e+01
  3,761832118034e-01;  1,899865341187e+01
  3,798612654209e-01;  1,907760429382e+01
  3,677125871181e-01;  1,700656509399e+01
  3,563023507595e-01;  1,538432788849e+01
  3,443417847157e-01;  1,396706295013e+01
  3,332798182964e-01;  1,270831298828e+01
  3,271288573742e-01;  1,204956054688e+01
  3,251087367535e-01;  1,184801292419e+01
  3,223780691624e-01;  1,160088825226e+01
  3,156141340733e-01;  1,094911289215e+01
  3,118315935135e-01;  1,068342018127e+01
  3,204833269119e-01;  1,201254940033e+01
  3,314547240734e-01;  1,344660186768e+01
  3,432968854904e-01;  1,491625499725e+01
  3,551390171051e-01;  1,624154853821e+01
  3,661104142666e-01;  1,753100395203e+01
  3,698232769966e-01;  1,791470527649e+01
  3,720315098763e-01;  1,813774681091e+01
  3,748039603233e-01;  1,841424369812e+01
  3,814216256142e-01;  1,898350906372e+01
  3,845214843750e-01;  1,901247787476e+01
  3,734386265278e-01;  1,711059761047e+01
  3,616731166840e-01;  1,545855236053e+01
  3,502767682076e-01;  1,404751873016e+01
  3,395282924175e-01;  1,283144283295e+01
  3,321443498135e-01;  1,205791187286e+01
  3,302496075630e-01;  1,186504650116e+01
  3,277349174023e-01;  1,162010002136e+01
  3,213610351086e-01;  1,102088451385e+01
  3,174740374088e-01;  1,073461914063e+01
  3,269756138325e-01;  1,215636634827e+01
  3,378564715385e-01;  1,362225341797e+01
  3,500329852104e-01;  1,512291622162e+01
  3,621049821377e-01;  1,657546997070e+01
  3,746089041233e-01;  1,802642631531e+01
  3,847792148590e-01;  1,911556434631e+01
  3,968999981880e-01;  2,026439666748e+01
  4,071748256683e-01;  2,103134536743e+01
  4,194836914539e-01;  2,186739730835e+01
  4,318691790104e-01;  2,149652862549e+01
  4,421579241753e-01;  2,064673805237e+01
  4,546618163586e-01;  2,074598693848e+01
  4,672005772591e-01;  2,227516555786e+01
  4,772315621376e-01;  2,316915512085e+01
  4,872973859310e-01;  2,355175018311e+01
