	Deformación;     Fuerza estándar
  0,000000000000e+00;  8,788446426392e+00
  0,000000000000e+00;  8,761126518250e+00
  0,000000000000e+00;  8,757110595703e+00
  0,000000000000e+00;  8,729824066162e+00
  0,000000000000e+00;  8,701562881470e+00
  0,000000000000e+00;  8,667372703552e+00
  0,000000000000e+00;  8,644795417786e+00
 -7,161016110331e-03;  7,795015811920e+00
 -1,903102733195e-02;  6,802091121674e+00
 -2,989793941379e-02;  6,013701915741e+00
 -4,116190969944e-02;  5,319768905640e+00
 -5,122773721814e-02;  4,777563571930e+00
 -6,215037405491e-02;  4,254724502563e+00
 -7,256449759007e-02;  3,784681081772e+00
 -8,322243392467e-02;  3,347470045090e+00
 -9,351116418839e-02;  2,955042839050e+00
 -1,021698638797e-01;  2,646671295166e+00
 -1,100623086095e-01;  2,383245468140e+00
 -1,173069179058e-01;  2,158308506012e+00
 -1,239594146609e-01;  1,964956045151e+00
 -1,304516941309e-01;  1,782733798027e+00
 -1,374316066504e-01;  1,607403993607e+00
 -1,448712497950e-01;  1,430674552917e+00
 -1,528333574533e-01;  1,261949419975e+00
 -1,613318473101e-01;  1,099354982376e+00
 -1,696143746376e-01;  9,590931534767e-01
 -1,780989319086e-01;  8,343399167061e-01
 -1,870501935482e-01;  7,153010964394e-01
 -1,958830505610e-01;  6,325957775116e-01
 -1,837344020605e-01;  1,101606845856e+00
 -1,723171770573e-01;  1,451327800751e+00
 -1,615686863661e-01;  1,785072803497e+00
 -1,509804129601e-01;  2,117804527283e+00
 -1,407056003809e-01;  2,453734874725e+00
 -1,286684125662e-01;  2,877662658691e+00
 -1,172999516129e-01;  3,306965827942e+00
 -1,066211238503e-01;  3,733202219009e+00
 -9,519693255424e-02;  4,227738857269e+00
 -8,433002233505e-02;  4,714889526367e+00
 -7,406914979219e-02;  5,187951087952e+00
 -6,385006755590e-02;  5,692677974701e+00
 -5,275328084826e-02;  6,245623111725e+00
 -4,209535196424e-02;  6,794651985168e+00
 -3,251714259386e-02;  7,296780586243e+00
 -2,405348978937e-02;  7,754960536957e+00
 -1,691337302327e-02;  8,148752212524e+00
 -1,010065525770e-02;  8,536091804504e+00
 -3,573541995138e-03;  8,906019210815e+00
  2,647068118677e-03;  9,269285202026e+00
  5,085157230496e-03;  9,047236442566e+00
 -6,589806638658e-03;  8,044571876526e+00
 -1,890563964844e-02;  6,952274799347e+00
 -3,012084960938e-02;  6,136574745178e+00
 -4,170525446534e-02;  5,410254001617e+00
 -5,206365138292e-02;  4,845162391663e+00
 -6,319527328014e-02;  4,303182601929e+00
 -7,378353923559e-02;  3,825331211090e+00
 -8,466438949108e-02;  3,374603271484e+00
 -9,513423591852e-02;  2,984214782715e+00
 -1,039461866021e-01;  2,669888973236e+00
 -1,121451333165e-01;  2,404513120651e+00
 -1,195011958480e-01;  2,185056209564e+00
 -1,264671683311e-01;  1,985051274300e+00
 -1,331544965506e-01;  1,810804486275e+00
 -1,405732482672e-01;  1,626331925392e+00
 -1,483612060547e-01;  1,442162513733e+00
 -1,568178981543e-01;  1,263325691223e+00
 -1,654208600521e-01;  1,088004112244e+00
 -1,738705784082e-01;  9,408002495766e-01
 -1,827521920204e-01;  7,911165952682e-01
 -1,919263750315e-01;  6,526863574982e-01
 -1,936260759830e-01;  7,958455681801e-01
 -1,832537502050e-01;  1,088311553001e+00
 -1,718295514584e-01;  1,434787273407e+00
 -1,609765738249e-01;  1,771796941757e+00
 -1,502629220486e-01;  2,111305713654e+00
 -1,399532854557e-01;  2,459492444992e+00
 -1,278673261404e-01;  2,886842489243e+00
 -1,164222359657e-01;  3,313734292984e+00
 -1,056807115674e-01;  3,743562698364e+00
 -9,425652772188e-02;  4,240704536438e+00
 -8,321546763182e-02;  4,737164020538e+00
 -7,297549396753e-02;  5,216863155365e+00
 -6,276337802410e-02;  5,727525234222e+00
 -5,158996582031e-02;  6,291645050049e+00
 -4,109921678901e-02;  6,835243225098e+00
 -3,159763664007e-02;  7,344038486481e+00
 -2,318274416029e-02;  7,807843685150e+00
 -1,623070798814e-02;  8,201031684875e+00
 -9,613037109375e-03;  8,587071418762e+00
 -3,260073484853e-03;  8,951575279236e+00
  2,765489742160e-03;  9,316345214844e+00
  2,222144044936e-03;  8,817408561707e+00
 -8,491516113281e-03;  7,948500633240e+00
 -2,078645117581e-02;  6,865722656250e+00
 -3,200166299939e-02;  6,064624309540e+00
 -4,339101910591e-02;  5,355301856995e+00
 -5,379121378064e-02;  4,789721012115e+00
 -6,483227014542e-02;  4,247269153595e+00
 -7,526032626629e-02;  3,771803617477e+00
 -8,609241247177e-02;  3,334488153458e+00
