	 Deformación;     Fuerza estándar
  0,000000000000e+00;  5,444490432739e+00
  2,089790723403e-05;  5,395122528076e+00
  2,089790723403e-05;  5,387386798859e+00
  1,393193815602e-05;  5,310631275177e+00
 -1,393193815602e-05;  5,260898113251e+00
 -3,058060305193e-03;  4,290035247803e+00
 -1,324927248061e-02;  3,967576026917e+00
 -2,912471629679e-02;  3,623802185059e+00
 -4,316114261746e-02;  3,264133453369e+00
 -5,480824410915e-02;  2,893740415573e+00
 -7,287099957466e-02;  2,181492567062e+00
 -8,512414246798e-02;  1,706459999084e+00
 -9,796242415905e-02;  1,315708279610e+00
 -1,085855215788e-01;  1,081675529480e+00
 -1,197241097689e-01;  8,663092851639e-01
 -1,303959786892e-01;  6,794238686562e-01
 -1,152937486768e-01;  2,008661746979e+00
 -9,650653600693e-02;  2,489011526108e+00
 -7,342828065157e-02;  3,025525808334e+00
 -5,092819780111e-02;  3,600123405457e+00
 -3,096373192966e-02;  4,184222698212e+00
 -1,314478367567e-02;  4,753274917603e+00
  2,800319576636e-03;  5,284448146820e+00
  1,689944043756e-02;  5,760018825531e+00
  2,897146530449e-02;  6,167615890503e+00
  3,974085301161e-02;  6,511900901794e+00
  5,769912153482e-02;  7,035385608673e+00
  7,314963638783e-02;  7,390340328217e+00
  8,664968609810e-02;  7,652332782745e+00
  9,925808757544e-02;  7,872709751129e+00
  1,102364584804e-01;  8,064287185669e+00
  1,205809190869e-01;  8,233200073242e+00
  1,340322047472e-01;  8,450981140137e+00
  1,456235796213e-01;  8,638174057007e+00
  1,562884747982e-01;  8,798538208008e+00
  1,682142168283e-01;  8,978120803833e+00
  1,784611642361e-01;  9,123462677002e+00
  1,892932355404e-01;  9,265803337097e+00
  1,999581307173e-01;  9,223590850830e+00
  1,840269714594e-01;  7,214740276337e+00
  1,671832501888e-01;  6,606377124786e+00
  1,470585763454e-01;  5,961440563202e+00
  1,277349740267e-01;  5,297272682190e+00
  1,117341443896e-01;  4,647897243500e+00
  9,821319580078e-02;  4,053676128387e+00
  8,692135661840e-02;  3,548054695129e+00
  7,010550796986e-02;  2,820968866348e+00
  5,752497166395e-02;  2,367899656296e+00
  4,679041355848e-02;  2,061799049377e+00
  3,341575339437e-02;  1,729406118393e+00
  2,220054343343e-02;  1,480284452438e+00
  9,431921876967e-03;  1,227906584740e+00
 -1,086691161618e-03;  1,033723592758e+00
 -1,190484128892e-02;  8,478892445564e-01
 -2,275782078505e-02;  6,809024810791e-01
 -7,732225582004e-03;  1,920623779297e+00
  8,777121081948e-03;  2,343478202820e+00
  2,782904542983e-02;  2,816730022430e+00
  4,559923335910e-02;  3,325805187225e+00
  6,153737008572e-02;  3,853696107864e+00
  7,638184726238e-02;  4,381528377533e+00
  8,976347744465e-02;  4,887349605560e+00
  1,021489650011e-01;  5,356488704681e+00
  1,128765568137e-01;  5,784708023071e+00
  1,315732151270e-01;  6,521467208862e+00
  1,466406136751e-01;  7,119526863098e+00
  1,595206856728e-01;  7,602858543396e+00
  1,699835807085e-01;  7,989125728607e+00
  1,827939897776e-01;  8,435299873352e+00
  1,954720467329e-01;  8,834912300110e+00
  2,066385000944e-01;  9,126930236816e+00
  2,167530953884e-01;  9,325350761414e+00
  1,967607587576e-01;  7,022541999817e+00
  1,802932024002e-01;  6,435141563416e+00
  1,636166721582e-01;  5,822978496552e+00
  1,492598205805e-01;  5,212481975555e+00
  1,369579136372e-01;  4,635485172272e+00
  1,264183968306e-01;  4,126512050629e+00
  1,102991551161e-01;  3,356528043747e+00
  9,749569743872e-02;  2,846877813339e+00
  8,660788834095e-02;  2,487614631653e+00
  7,251573354006e-02;  2,088788270950e+00
  6,101492047310e-02;  1,786558508873e+00
  5,096999555826e-02;  1,553193211555e+00
  3,992196917534e-02;  1,310506939888e+00
  2,863709814847e-02;  1,089548230171e+00
  1,738705858588e-02;  8,880178332329e-01
  6,554976571351e-03;  7,097802162170e-01
  6,743058096617e-03;  1,439989209175e+00
  1,742188818753e-02;  1,765654921532e+00
  3,165336325765e-02;  2,143240451813e+00
  4,786317422986e-02;  2,567021131516e+00
  6,295146048069e-02;  3,026425361633e+00
  7,702968269587e-02;  3,503987312317e+00
  8,995155990124e-02;  3,984030246735e+00
  1,021977290511e-01;  4,449341773987e+00
  1,132805868983e-01;  4,888932228088e+00
  1,235693246126e-01;  5,297329902649e+00
  1,413604021072e-01;  6,026951313019e+00
  1,566158831120e-01;  6,644788265228e+00
  1,694402247667e-01;  7,164871692657e+00
  1,803628653288e-01;  7,604037761688e+00
  1,937653869390e-01;  8,125635147095e+00
  2,040053606033e-01;  8,513596534729e+00
  2,144194841385e-01;  8,875094413757e+00
  2,255650460720e-01;  9,192790985107e+00
  2,366130650043e-01;  9,139033317566e+00
  2,254744768143e-01;  7,704222202301e+00
  2,137855887413e-01;  7,191272735596e+00
  1,991431266069e-01;  6,638414382935e+00
  1,844240278006e-01;  6,056726455688e+00
  1,715996712446e-01;  5,473045349121e+00
  1,602590829134e-01;  4,920524120331e+00
  1,419594734907e-01;  4,007442951202e+00
  1,281807869673e-01;  3,376556634903e+00
  1,168262660503e-01;  2,932052612305e+00
  1,066002249718e-01;  2,596471309662e+00
  9,372711181641e-02;  2,205178976059e+00
  8,243527263403e-02;  1,901622414589e+00
  6,987563520670e-02;  1,591936707497e+00
  5,958689749241e-02;  1,356388211250e+00
  4,869908839464e-02;  1,129181265831e+00
  3,821530565619e-02;  9,300481081009e-01
  2,708368748426e-02;  7,401203513145e-01
  1,744278706610e-02;  9,541071057320e-01
  3,671762347221e-02;  1,731094479561e+00
  5,006441846490e-02;  2,089280605316e+00
  6,476261466742e-02;  2,490345716476e+00
  7,852736860514e-02;  2,924350500107e+00
  9,127508848906e-02;  3,374099254608e+00
  1,034864336252e-01;  3,825699090958e+00
  1,145344600081e-01;  4,265573501587e+00
  1,249346509576e-01;  4,683148384094e+00
  1,430809944868e-01;  5,436685562134e+00
  1,589564383030e-01;  6,092295646667e+00
  1,724216639996e-01;  6,656482696533e+00
  1,841105520725e-01;  7,142252922058e+00
  1,941554844379e-01;  7,553119182587e+00
  2,063389718533e-01;  8,054967880249e+00
  2,188080549240e-01;  8,548880577087e+00
  2,299953997135e-01;  8,955461502075e+00
  2,403398603201e-01;  9,267302513123e+00
  2,350178658962e-01;  7,718025684357e+00
  2,237260192633e-01;  7,220825195313e+00
  2,101284563541e-01;  6,686091423035e+00
  1,969767063856e-01;  6,128028392792e+00
  1,853853315115e-01;  5,570452690125e+00
  1,751453578472e-01;  5,044056415558e+00
  1,579951345921e-01;  4,175772666931e+00
  1,454703360796e-01;  3,568822860718e+00
  1,343735456467e-01;  3,130716800690e+00
  1,208247318864e-01;  2,650083303452e+00
  1,088920235634e-01;  2,287056446075e+00
  9,871474653482e-02;  1,995043873787e+00
  8,710943907499e-02;  1,689586997032e+00
  7,707148045301e-02;  1,450319528580e+00
  6,683150678873e-02;  1,222086668015e+00
  5,645221099257e-02;  1,013553023338e+00
  4,547384381294e-02;  8,092933893204e-01
  3,486467525363e-02;  6,420015096664e-01
  4,695063084364e-02;  1,567644000053e+00
  5,833999067545e-02;  1,885040521622e+00
  7,167982310057e-02;  2,243838787079e+00
  8,415587246418e-02;  2,635067462921e+00
  9,605374187231e-02;  3,045595169067e+00
  1,072898507118e-01;  3,463356971741e+00
  1,175298243761e-01;  3,875796318054e+00
  1,363100856543e-01;  4,643755435944e+00
  1,525756120682e-01;  5,323946952820e+00
  1,669324785471e-01;  5,925182342529e+00
  1,794364005327e-01;  6,456508159637e+00
  1,904286891222e-01;  6,922588348389e+00
  2,041934430599e-01;  7,505850315094e+00
  2,152345031500e-01;  7,972638130188e+00
  2,268746346235e-01;  8,436988830566e+00
  2,372191101313e-01;  8,837130546570e+00
  2,481208443642e-01;  9,184647560120e+00
  2,582981288433e-01;  8,957866668701e+00
  2,481417506933e-01;  7,897155284882e+00
  2,259899675846e-01;  6,938958644867e+00
  2,140711843967e-01;  6,413276195526e+00
  2,033923566341e-01;  5,879513263702e+00
  1,852878034115e-01;  4,903437614441e+00
  1,709866672754e-01;  4,162169456482e+00
  1,591375619173e-01;  3,626679182053e+00
  1,490926295519e-01;  3,220341444016e+00
  1,356413513422e-01;  2,755112409592e+00
